sample_id,category,task,example,conversion_ok,conversion_errors,skill_sequence,action_count
CommenSence/insert_flower_common_sense/example1,CommenSence,insert_flower_common_sense,example1,True,,pick>place,2
CommenSence/insert_flower_common_sense/example2,CommenSence,insert_flower_common_sense,example2,True,,pick>place,2
CommenSence/insert_flower_common_sense/example5,CommenSence,insert_flower_common_sense,example5,True,,pick>place,2
CommenSence/insert_flower_common_sense/example9,CommenSence,insert_flower_common_sense,example9,True,,pick>place,2
CommenSence/insert_flower_common_sense/example10,CommenSence,insert_flower_common_sense,example10,True,,pick>place,2
CommenSence/insert_flower_common_sense/example19,CommenSence,insert_flower_common_sense,example19,True,,pick>place,2
CommenSence/insert_flower_common_sense/example26,CommenSence,insert_flower_common_sense,example26,True,,pick>place,2
CommenSence/insert_flower_common_sense/example30,CommenSence,insert_flower_common_sense,example30,True,,pick>place,2
CommenSence/insert_flower_common_sense/example31,CommenSence,insert_flower_common_sense,example31,True,,pick>place,2
CommenSence/insert_flower_common_sense/example33,CommenSence,insert_flower_common_sense,example33,True,,pick>place,2
CommenSence/insert_flower_common_sense/example35,CommenSence,insert_flower_common_sense,example35,True,,pick>place,2
CommenSence/insert_flower_common_sense/example44,CommenSence,insert_flower_common_sense,example44,True,,pick>place,2
CommenSence/insert_flower_common_sense/example47,CommenSence,insert_flower_common_sense,example47,True,,pick>place,2
CommenSence/insert_flower_common_sense/example48,CommenSence,insert_flower_common_sense,example48,True,,pick>place,2
CommenSence/insert_flower_common_sense/example60,CommenSence,insert_flower_common_sense,example60,True,,pick>place,2
CommenSence/insert_flower_common_sense/example63,CommenSence,insert_flower_common_sense,example63,True,,pick>place,2
CommenSence/insert_flower_common_sense/example64,CommenSence,insert_flower_common_sense,example64,True,,pick>place,2
CommenSence/insert_flower_common_sense/example67,CommenSence,insert_flower_common_sense,example67,True,,pick>place,2
CommenSence/insert_flower_common_sense/example69,CommenSence,insert_flower_common_sense,example69,True,,pick>place,2
CommenSence/insert_flower_common_sense/example76,CommenSence,insert_flower_common_sense,example76,True,,pick>place,2
CommenSence/insert_flower_common_sense/example77,CommenSence,insert_flower_common_sense,example77,True,,pick>place,2
CommenSence/insert_flower_common_sense/example78,CommenSence,insert_flower_common_sense,example78,True,,pick>place,2
CommenSence/insert_flower_common_sense/example79,CommenSence,insert_flower_common_sense,example79,True,,pick>place,2
CommenSence/insert_flower_common_sense/example81,CommenSence,insert_flower_common_sense,example81,True,,pick>place,2
CommenSence/insert_flower_common_sense/example88,CommenSence,insert_flower_common_sense,example88,True,,pick>place,2
CommenSence/insert_flower_common_sense/example90,CommenSence,insert_flower_common_sense,example90,True,,pick>place,2
CommenSence/insert_flower_common_sense/example94,CommenSence,insert_flower_common_sense,example94,True,,pick>place,2
CommenSence/select_billiards_common_sense/example0,CommenSence,select_billiards_common_sense,example0,True,,pick>place,2
CommenSence/select_billiards_common_sense/example1,CommenSence,select_billiards_common_sense,example1,False,sequence_missing_or_empty,,0
CommenSence/select_billiards_common_sense/example2,CommenSence,select_billiards_common_sense,example2,True,,pick>place,2
CommenSence/select_billiards_common_sense/example3,CommenSence,select_billiards_common_sense,example3,True,,pick>place,2
CommenSence/select_billiards_common_sense/example4,CommenSence,select_billiards_common_sense,example4,True,,pick>place,2
CommenSence/select_billiards_common_sense/example5,CommenSence,select_billiards_common_sense,example5,True,,pick>place,2
CommenSence/select_billiards_common_sense/example6,CommenSence,select_billiards_common_sense,example6,True,,pick>place,2
CommenSence/select_billiards_common_sense/example7,CommenSence,select_billiards_common_sense,example7,True,,pick>place,2
CommenSence/select_billiards_common_sense/example8,CommenSence,select_billiards_common_sense,example8,True,,pick>place,2
CommenSence/select_billiards_common_sense/example9,CommenSence,select_billiards_common_sense,example9,True,,pick>place,2
CommenSence/select_billiards_common_sense/example10,CommenSence,select_billiards_common_sense,example10,True,,pick>place,2
CommenSence/select_billiards_common_sense/example11,CommenSence,select_billiards_common_sense,example11,True,,pick>place,2
CommenSence/select_billiards_common_sense/example12,CommenSence,select_billiards_common_sense,example12,True,,pick>place,2
CommenSence/select_billiards_common_sense/example13,CommenSence,select_billiards_common_sense,example13,True,,pick>place,2
CommenSence/select_billiards_common_sense/example14,CommenSence,select_billiards_common_sense,example14,True,,pick>place,2
CommenSence/select_billiards_common_sense/example15,CommenSence,select_billiards_common_sense,example15,False,sequence_missing_or_empty,,0
CommenSence/select_billiards_common_sense/example16,CommenSence,select_billiards_common_sense,example16,True,,pick>place,2
CommenSence/select_billiards_common_sense/example17,CommenSence,select_billiards_common_sense,example17,True,,pick>place,2
CommenSence/select_billiards_common_sense/example18,CommenSence,select_billiards_common_sense,example18,True,,pick>place,2
CommenSence/select_billiards_common_sense/example19,CommenSence,select_billiards_common_sense,example19,True,,pick>place,2
CommenSence/select_billiards_common_sense/example20,CommenSence,select_billiards_common_sense,example20,True,,pick>place,2
CommenSence/select_billiards_common_sense/example21,CommenSence,select_billiards_common_sense,example21,True,,pick>place,2
CommenSence/select_billiards_common_sense/example22,CommenSence,select_billiards_common_sense,example22,True,,pick>place,2
CommenSence/select_billiards_common_sense/example23,CommenSence,select_billiards_common_sense,example23,True,,pick>place,2
CommenSence/select_billiards_common_sense/example24,CommenSence,select_billiards_common_sense,example24,False,sequence_missing_or_empty,,0
CommenSence/select_billiards_common_sense/example25,CommenSence,select_billiards_common_sense,example25,True,,pick>place,2
CommenSence/select_billiards_common_sense/example26,CommenSence,select_billiards_common_sense,example26,True,,pick>place,2
CommenSence/select_billiards_common_sense/example27,CommenSence,select_billiards_common_sense,example27,True,,pick>place,2
CommenSence/select_billiards_common_sense/example28,CommenSence,select_billiards_common_sense,example28,False,sequence_missing_or_empty,,0
CommenSence/select_billiards_common_sense/example29,CommenSence,select_billiards_common_sense,example29,True,,pick>place,2
CommenSence/select_billiards_common_sense/example30,CommenSence,select_billiards_common_sense,example30,True,,pick>place,2
CommenSence/select_billiards_common_sense/example31,CommenSence,select_billiards_common_sense,example31,True,,pick>place,2
CommenSence/select_billiards_common_sense/example32,CommenSence,select_billiards_common_sense,example32,True,,pick>place,2
CommenSence/select_billiards_common_sense/example34,CommenSence,select_billiards_common_sense,example34,True,,pick>place,2
CommenSence/select_billiards_common_sense/example35,CommenSence,select_billiards_common_sense,example35,True,,pick>place,2
CommenSence/select_billiards_common_sense/example36,CommenSence,select_billiards_common_sense,example36,True,,pick>place,2
CommenSence/select_billiards_common_sense/example37,CommenSence,select_billiards_common_sense,example37,True,,pick>place,2
CommenSence/select_billiards_common_sense/example38,CommenSence,select_billiards_common_sense,example38,True,,pick>place,2
CommenSence/select_billiards_common_sense/example39,CommenSence,select_billiards_common_sense,example39,True,,pick>place,2
CommenSence/select_billiards_common_sense/example40,CommenSence,select_billiards_common_sense,example40,False,sequence_missing_or_empty,,0
CommenSence/select_billiards_common_sense/example41,CommenSence,select_billiards_common_sense,example41,True,,pick>place,2
CommenSence/select_billiards_common_sense/example42,CommenSence,select_billiards_common_sense,example42,True,,pick>place,2
CommenSence/select_billiards_common_sense/example43,CommenSence,select_billiards_common_sense,example43,True,,pick>place,2
CommenSence/select_billiards_common_sense/example44,CommenSence,select_billiards_common_sense,example44,False,sequence_missing_or_empty,,0
CommenSence/select_billiards_common_sense/example45,CommenSence,select_billiards_common_sense,example45,True,,pick>place,2
CommenSence/select_billiards_common_sense/example46,CommenSence,select_billiards_common_sense,example46,True,,pick>place,2
CommenSence/select_billiards_common_sense/example47,CommenSence,select_billiards_common_sense,example47,True,,pick>place,2
CommenSence/select_billiards_common_sense/example48,CommenSence,select_billiards_common_sense,example48,True,,pick>place,2
CommenSence/select_billiards_common_sense/example49,CommenSence,select_billiards_common_sense,example49,True,,pick>place,2
CommenSence/select_billiards_common_sense/example50,CommenSence,select_billiards_common_sense,example50,True,,pick>place,2
CommenSence/select_billiards_common_sense/example51,CommenSence,select_billiards_common_sense,example51,True,,pick>place,2
CommenSence/select_billiards_common_sense/example52,CommenSence,select_billiards_common_sense,example52,True,,pick>place,2
CommenSence/select_billiards_common_sense/example53,CommenSence,select_billiards_common_sense,example53,True,,pick>place,2
CommenSence/select_billiards_common_sense/example54,CommenSence,select_billiards_common_sense,example54,True,,pick>place,2
CommenSence/select_billiards_common_sense/example55,CommenSence,select_billiards_common_sense,example55,True,,pick>place,2
CommenSence/select_billiards_common_sense/example56,CommenSence,select_billiards_common_sense,example56,True,,pick>place,2
