sample_id,task,example,instruction,button_object_map,gt_button_id,gt_button_name,gt_object,gt_material,pred_button_raw,pred_button_resolved_id,pred_object,pred_material,target_exact_match,audit_class,material_level_audit_class,rationale_summary,input_mask
PhysicsLaw/density_qa/example10,density_qa,example10,We are conducting a density experiment. We have three objects with different densities. Choose the object with the smallest density.,button0->wood_cylinder[wood/wood4] | button1->stone_capsule[stone/stone] | button2->metal_box[metal/metal2],1,button0,wood_cylinder,wood,button0,1,wood_cylinder,wood,True,correct_button_and_object,correct_button_and_object,"The stone_capsule (component_id 4) is the only object that can float in water based on its material properties, as it is less dense than water.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example4,density_qa,example4,We are conducting a density experiment. We have three objects with different densities. Choose the object with the medium density.,button0->stone_cylinder[stone/stone4] | button1->wood_box[wood/wood0] | button2->metal_box[metal/metal2],3,button1,wood_box,wood,button1,3,wood_box,wood,True,correct_button_and_object,correct_button_and_object,"The object with medium density is the wood_box, which is associated with button1.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example50,density_qa,example50,We are conducting a density experiment. We have three objects with different densities. Choose the object with the medium density.,button0->stone_box[stone/stone0] | button1->wood_cylinder[wood/wood4] | button2->metal_box[metal/metal3],3,button1,wood_cylinder,wood,button2,5,metal_box,metal,False,rationale_supports_gt_object_but_button_wrong,rationale_supports_gt_object_or_material_but_button_wrong,"The object with medium density is the wood_cylinder, which is associated with button2 in the scene registry.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example62,density_qa,example62,We are conducting a density experiment. We have three objects with different densities. Choose the object with the smallest density.,button0->wood_box[wood/wood2] | button1->stone_box[stone/stone4] | button2->metal_cylinder[metal/metal2],1,button0,wood_box,wood,button0,1,wood_box,wood,True,correct_button_and_object,correct_button_and_object,The wood_box is the only object that can float in water due to its low density and buoyant properties.,<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example71,density_qa,example71,We are conducting a density experiment. We have three objects with different densities. Choose the object with the smallest density.,button0->wood_cylinder[wood/wood3] | button1->stone_capsule[stone/stone2] | button2->metal_cylinder[metal/metal1],1,button0,wood_cylinder,wood,button0,1,wood_cylinder,wood,True,correct_button_and_object,correct_button_and_object,"The pink sphere (object 4) is the only object that appears to be floating, indicating it is the one that can float in water.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example72,density_qa,example72,We are conducting a density experiment. We have three objects with different densities. Choose the object with the smallest density.,button0->stone_cylinder[stone/stone3] | button1->metal_cylinder[metal/metal2] | button2->wood_box[wood/wood3],1,button0,stone_cylinder,stone,button0,1,stone_cylinder,stone,True,correct_button_and_object,correct_button_and_object,"The object with the smallest density is likely the one that floats or behaves least densely, which corresponds to button0 in the context of the experiment.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example78,density_qa,example78,We are conducting a density experiment. We have three objects with different densities. Choose the object with the smallest density.,button0->wood_cylinder[wood/wood0] | button1->metal_cylinder[metal/metal2] | button2->stone_cylinder[stone/stone3],1,button0,wood_cylinder,wood,button0,1,wood_cylinder,wood,True,correct_button_and_object,correct_button_and_object,"The metal cylinder (component_id 4) is the only object that can float in water due to its density being less than water, making it the correct choice for the task.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example8,density_qa,example8,We are conducting a density experiment. We have three objects with different densities. Choose the object with the medium density.,button0->wood_box[wood/wood0] | button1->metal_sphere[metal/metal1] | button2->stone_cylinder[stone/stone0],3,button1,metal_sphere,metal,button2,5,stone_cylinder,stone,False,rationale_supports_pred_wrong_object,rationale_supports_pred_object_or_material,"The object with medium density is the stone cylinder, which corresponds to button2.",<LOCAL_WORKSPACE>
PhysicsLaw/density_qa/example82,density_qa,example82,We are conducting a density experiment. We have three objects with different densities. Choose the object with the largest density.,button0->wood_cylinder[wood/wood4] | button1->metal_capsule[metal/metal3] | button2->stone_box[stone/stone],5,button2,stone_box,stone,button0,1,wood_cylinder,wood,False,rationale_other_or_material_only,rationale_no_gt_or_pred_object_or_material,"The object with the largest density is the metal capsule, which is associated with button0.",<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example48,friction_qa,example48,We are going to test the friction of the different object. Choose the object that slides the slowest on a steel ramp.,button0->metal_sphere[metal/metal0] | button1->stone_box[stone/stone3] | button2->metal_sphere_1[metal/metal1],3,button1,stone_box,stone,button0,1,metal_sphere,metal,False,rationale_supports_gt_object_but_button_wrong,rationale_supports_gt_object_or_material_but_button_wrong,"The object that slides the slowest on a steel ramp is likely to have the highest friction. The stone_box (component_id 4) is a solid, rough object, which typically has higher friction compared to smooth or spherical objects. Pressing button0 corresponds to selecting the stone_box as the candidate for highest friction.",<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example54,friction_qa,example54,We are going to test the friction of the different object. Choose the object that slides the slowest on a steel ramp.,button0->stone_sphere[stone/stone2] | button1->wood_cylinder[wood/wood4] | button2->wood_sphere[wood/wood3],3,button1,wood_cylinder,wood,button0,1,stone_sphere,stone,False,rationale_supports_pred_wrong_object,rationale_supports_pred_object_or_material,"The stone sphere (component_id 2) has the highest friction coefficient among the candidate objects, making it the slowest to slide on a steel ramp.",<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example55,friction_qa,example55,We are going to test the friction of the different object. Choose the object that slides the slowest on a steel ramp.,button0->stone_sphere[stone/stone3] | button1->wood_sphere[wood/wood2] | button2->wood_cylinder[wood/wood3],5,button2,wood_cylinder,wood,button0,1,stone_sphere,stone,False,rationale_supports_pred_wrong_object,rationale_supports_pred_object_or_material,"The stone sphere (component_id 2) is the object with the highest friction coefficient among the candidates, making it the slowest to slide on a steel ramp.",<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example56,friction_qa,example56,We are going to test the friction of the different object. Choose the object that slides the slowest on a steel ramp.,button0->stone_sphere[stone/stone0] | button1->stone_box[stone/stone0] | button2->wood_sphere[wood/wood2],3,button1,stone_box,stone,button0,1,stone_sphere,stone,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,The stone sphere (component_id 2) is the object that slides the slowest on a steel ramp due to its higher friction coefficient compared to other objects.,<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example63,friction_qa,example63,We are going to test the friction of the different object. Choose the object that slides the fastest on a steel ramp.,button0->metal_box[metal/metal2] | button1->metal_box_1[metal/metal4] | button2->wood_sphere[wood/wood1],5,button2,wood_sphere,wood,button0,1,metal_box,metal,False,rationale_supports_pred_wrong_object,rationale_supports_pred_object_or_material,"The object that slides the fastest on a steel ramp is typically the one with the lowest friction coefficient. Among the visible objects, the metal box (component_id 2) is likely to have the lowest friction due to its metallic surface, making it the best candidate for sliding fastest.",<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example66,friction_qa,example66,We are going to test the friction of the different object. Choose the object that slides the fastest on a steel ramp.,button0->wood_cylinder[wood/wood1] | button1->metal_box[metal/metal3] | button2->wood_box[wood/wood3],1,button0,wood_cylinder,wood,button0,1,wood_cylinder,wood,True,correct_button_and_object,correct_button_and_object,The wood_cylinder (component_id 2) is the object that slides the fastest on a steel ramp due to its low friction coefficient compared to other materials.,<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example72,friction_qa,example72,We are going to test the friction of the different object. Choose the object that slides the slowest on a steel ramp.,button0->stone_sphere[stone/stone0] | button1->stone_box[stone/stone3] | button2->stone_cylinder[stone/stone2],3,button1,stone_box,stone,button0,1,stone_sphere,stone,False,rationale_supports_pred_wrong_object,rationale_mentions_gt_and_pred_object_or_material,The stone sphere (component_id 2) is the object that slides the slowest on a steel ramp due to its high friction coefficient compared to other shapes.,<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example77,friction_qa,example77,We are going to test the friction of the different object. Choose the object that slides the fastest on a steel ramp.,button0->metal_sphere[metal/metal1] | button1->wood_box[wood/wood2] | button2->wood_cylinder[wood/wood2],1,button0,metal_sphere,metal,button0,1,metal_sphere,metal,True,correct_button_and_object,correct_button_and_object,"The metal sphere is the object with the least friction due to its smooth surface and metallic composition, making it slide the fastest on a steel ramp.",<LOCAL_WORKSPACE>
PhysicsLaw/friction_qa/example92,friction_qa,example92,We are going to test the friction of the different object. Choose the object that slides the fastest on a steel ramp.,button0->wood_box[wood/wood4] | button1->stone_box[stone/stone0] | button2->metal_sphere[metal/metal2],5,button2,metal_sphere,metal,button0,1,wood_box,wood,False,rationale_supports_gt_object_but_button_wrong,rationale_supports_gt_object_or_material_but_button_wrong,"The object that slides the fastest on a steel ramp is typically the one with the lowest friction coefficient. Among the visible objects, the metal sphere (component_id 6) is likely to have the lowest friction due to its smooth surface and material properties, making it the best candidate for sliding fastest.",<LOCAL_WORKSPACE>
PhysicsLaw/magnetism_qa/example11,magnetism_qa,example11,We are conducting an experiment to identify whether the objects made of various kinds of materials are magnetic. Choose the object that is non-magnetic.,button0->metal_cylinder[metal/metal0] | button1->wood_cylinder[wood/wood1] | button2->metal_capsule[metal/metal4],3,button1,wood_cylinder,wood,button0,1,metal_cylinder,metal,False,rationale_mentions_gt_and_pred_button_wrong,rationale_mentions_gt_and_pred_object_or_material,"The metal_cylinder (component_id 2) is likely magnetic, and the wood_cylinder (component_id 4) is non-magnetic. Pressing button0 corresponds to selecting the non-magnetic object.",<LOCAL_WORKSPACE>
PhysicsLaw/magnetism_qa/example20,magnetism_qa,example20,We are conducting an experiment to identify whether the objects made of various kinds of materials are magnetic. Choose the object that is non-magnetic.,button0->wood_cylinder[wood/wood0] | button1->metal_cylinder[metal/metal4] | button2->metal_capsule[metal/metal2],1,button0,wood_cylinder,wood,button0,1,wood_cylinder,wood,True,correct_button_and_object,correct_button_and_object,"The wood_cylinder (component_id 2) is a non-magnetic material, and button0 is associated with it in the scene registry.",<LOCAL_WORKSPACE>
PhysicsLaw/magnetism_qa/example27,magnetism_qa,example27,We are conducting an experiment to identify whether the objects made of various kinds of materials are magnetic. Choose the object that is non-magnetic.,button0->stone_capsule[stone/stone4] | button1->metal_capsule[metal/metal3] | button2->metal_capsule_1[metal/metal1],1,button0,stone_capsule,stone,button0,1,stone_capsule,stone,True,correct_button_and_object,correct_button_and_object,"The stone capsule (component_id 2) is likely non-magnetic, as it is made of stone, which is not magnetic. The button0 is associated with this object in the scene registry.",<LOCAL_WORKSPACE>
