"sample_id","repeat","status","success","error","first_stage_error","path"
"CommenSence/insert_flower_common_sense/example0","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example0\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example0","official_repeat_2","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example0\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example11","official_repeat_2","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example11\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example12","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example12\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example12","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example12\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example13","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example13\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example13","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example13\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example14","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example14\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example14","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example14\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example15","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example15\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example15","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example15\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example16","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example16\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example17","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example17\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example17","official_repeat_2","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example17\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example18","official_repeat_1","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example18\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example18","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example18\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example19","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example19\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example19","official_repeat_2","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example19\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example3","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example3\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example3","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example3\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example4","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example4\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example4","official_repeat_2","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example4\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example6","official_repeat_1","native_process_crash",,,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example6\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example6","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example6\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example7","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example7\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example8","official_repeat_1","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example8\official_repeat_1\execution_result.json"
"CommenSence/insert_flower_common_sense/example8","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example8\official_repeat_2\execution_result.json"
"CommenSence/insert_flower_common_sense/example9","official_repeat_2","completed","False",,"","<LOCAL_WORKSPACE>\silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_stable_task_full\CommenSence\insert_flower_common_sense\example9\official_repeat_2\execution_result.json"
