sample_index,sample_id,official_status,case_dir,repeat_1_final_dir,repeat_2_final_dir,missing_count,missing_items
1,CommenSence/add_condiment_common_sense/example0,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example0,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example0\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example0\official_repeat_2,0,
2,CommenSence/add_condiment_common_sense/example1,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example1\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example1\official_repeat_2,0,
3,CommenSence/add_condiment_common_sense/example2,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example2,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example2\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example2\official_repeat_2,0,
4,CommenSence/add_condiment_common_sense/example3,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example3,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example3\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example3\official_repeat_2,0,
5,CommenSence/add_condiment_common_sense/example4,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example4,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example4\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example4\official_repeat_2,0,
6,CommenSence/add_condiment_common_sense/example5,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example5,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example5\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example5\official_repeat_2,0,
7,CommenSence/add_condiment_common_sense/example6,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example6,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example6\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example6\official_repeat_2,0,
8,CommenSence/add_condiment_common_sense/example7,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example7,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example7\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example7\official_repeat_2,0,
9,CommenSence/add_condiment_common_sense/example8,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example8,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example8\official_repeat_1,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example8\official_repeat_2,0,
10,CommenSence/add_condiment_common_sense/example9,B1_condition_failure,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example9,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example9\official_repeat_1_retry1_exception,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_full_4000_preload_target\CommenSence\add_condiment_common_sense\example9\official_repeat_2,0,
