ablation_index,sample_id,track_c_status,SR_success,SR_status,NF_success,NF_status,R1_success,R1_status,R2_success,R2_status,R3_success,R3_status,R4_success,R4_status
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,True,C0_qwen_guided_success
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure,True,C0_qwen_guided_success
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,False,C1_qwen_guided_condition_failure
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,True,C0_qwen_guided_success
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,True,C0_qwen_guided_success,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure
18,CommenSence/select_drink_common_sense/example11,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success,False,C3_entity_mapping_failure,True,C0_qwen_guided_success
19,CommenSence/select_drink_common_sense/example67,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure
20,CommenSence/select_drink_common_sense/example95,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C2_qwen_conversion_failure,False,C2_qwen_conversion_failure
21,CommenSence/select_drink_common_sense/example96,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure
22,CommenSence/select_fruit_common_sense/example3,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
23,CommenSence/select_fruit_common_sense/example30,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,False,C1_qwen_guided_condition_failure
24,CommenSence/select_fruit_common_sense/example32,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
25,CommenSence/select_fruit_common_sense/example93,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
26,CommenSence/select_nth_largest_poker/example16,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success
27,CommenSence/select_nth_largest_poker/example22,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
28,CommenSence/select_nth_largest_poker/example24,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C3_entity_mapping_failure,False,C2_qwen_conversion_failure,False,C3_entity_mapping_failure,False,C3_entity_mapping_failure
29,CommenSence/select_nth_largest_poker/example27,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success
30,CommenSence/select_nth_largest_poker/example30,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success,True,C0_qwen_guided_success
31,CommenSence/select_nth_largest_poker/example48,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure
32,CommenSence/select_nth_largest_poker/example54,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,True,C0_qwen_guided_success
33,CommenSence/select_nth_largest_poker/example65,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
34,CommenSence/select_nth_largest_poker/example66,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C2_qwen_conversion_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure,False,C1_qwen_guided_condition_failure
