sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir
1,CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\add_condiment_common_sense\example0
2,CommenSence/add_condiment_common_sense/example1,CommenSence,add_condiment_common_sense,example1,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\add_condiment_common_sense\example1
3,CommenSence/insert_flower_common_sense/example0,CommenSence,insert_flower_common_sense,example0,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\insert_flower_common_sense\example0
4,CommenSence/insert_flower_common_sense/example1,CommenSence,insert_flower_common_sense,example1,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\insert_flower_common_sense\example1
5,CommenSence/select_billiards_common_sense/example0,CommenSence,select_billiards_common_sense,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_billiards_common_sense\example0
6,CommenSence/select_billiards_common_sense/example1,CommenSence,select_billiards_common_sense,example1,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_billiards_common_sense\example1
7,CommenSence/select_chemistry_tube_common_sense/example0,CommenSence,select_chemistry_tube_common_sense,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_chemistry_tube_common_sense\example0
8,CommenSence/select_chemistry_tube_common_sense/example1,CommenSence,select_chemistry_tube_common_sense,example1,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_chemistry_tube_common_sense\example1
9,CommenSence/select_drink_common_sense/example0,CommenSence,select_drink_common_sense,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_drink_common_sense\example0
10,CommenSence/select_drink_common_sense/example1,CommenSence,select_drink_common_sense,example1,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_task2_sanity\CommenSence\select_drink_common_sense\example1
