sample_id,replan_conversion_ok,status,run_position,track_c_status,schema_valid,parse_error,conversion_errors,skill_sequence,updated_at
CommenSence/insert_flower_common_sense/example9,True,skipped_existing,,,,,,,
CommenSence/insert_flower_common_sense/example19,True,skipped_existing,,,,,,,
CommenSence/insert_flower_common_sense/example31,True,skipped_existing,,,,,,,
CommenSence/insert_flower_common_sense/example47,True,completed,13,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:48:03
CommenSence/insert_flower_common_sense/example78,True,completed,22,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:48:04
CommenSence/insert_flower_common_sense/example81,True,completed,24,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:48:05
CommenSence/insert_flower_common_sense/example94,True,completed,27,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:48:07
CommenSence/select_billiards_common_sense/example1,False,completed,29,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:08
CommenSence/select_billiards_common_sense/example3,False,completed,31,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:48:09
CommenSence/select_billiards_common_sense/example4,False,completed,32,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:striped_7;step1:unmapped_component:hole_1,pick>place,2026-05-28 09:48:11
CommenSence/select_billiards_common_sense/example6,False,completed,34,C1_qwen_guided_condition_failure,True,,step1:unmapped_component:hole_0,pick>place,2026-05-28 09:48:13
CommenSence/select_billiards_common_sense/example7,True,completed,35,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:14
CommenSence/select_billiards_common_sense/example8,True,completed,36,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:15
CommenSence/select_billiards_common_sense/example9,False,completed,37,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:solid_4;step1:unmapped_component:hole_2,pick>place,2026-05-28 09:48:17
CommenSence/select_billiards_common_sense/example11,False,completed,39,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:48:18
CommenSence/select_billiards_common_sense/example12,True,completed,40,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:19
CommenSence/select_billiards_common_sense/example13,True,completed,41,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:20
CommenSence/select_billiards_common_sense/example14,True,completed,42,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:21
CommenSence/select_billiards_common_sense/example15,False,completed,43,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:22
CommenSence/select_billiards_common_sense/example16,True,completed,44,C1_qwen_guided_condition_failure,True,,,pick>insert,2026-05-28 09:48:23
CommenSence/select_billiards_common_sense/example18,True,completed,46,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:25
CommenSence/select_billiards_common_sense/example19,True,completed,47,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:26
CommenSence/select_billiards_common_sense/example21,False,completed,49,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:48:28
CommenSence/select_billiards_common_sense/example23,True,completed,51,C1_qwen_guided_condition_failure,True,,,pick>insert,2026-05-28 09:48:29
CommenSence/select_billiards_common_sense/example24,False,completed,52,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:30
CommenSence/select_billiards_common_sense/example28,False,completed,56,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:31
CommenSence/select_billiards_common_sense/example30,True,completed,58,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:32
CommenSence/select_billiards_common_sense/example32,True,completed,60,C1_qwen_guided_condition_failure,True,,,pick>place,2026-05-28 09:48:34
CommenSence/select_billiards_common_sense/example34,False,completed,61,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:hole,insert,2026-05-28 09:48:35
CommenSence/select_billiards_common_sense/example35,True,completed,62,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:37
CommenSence/select_billiards_common_sense/example37,True,completed,64,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:38
CommenSence/select_billiards_common_sense/example38,False,completed,65,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:7,pick>place,2026-05-28 09:48:39
CommenSence/select_billiards_common_sense/example39,True,completed,66,C1_qwen_guided_condition_failure,True,,,insert,2026-05-28 09:48:40
CommenSence/select_billiards_common_sense/example40,False,completed,67,C2_qwen_conversion_failure,False,,sequence_missing_or_empty,,2026-05-28 09:48:41
CommenSence/select_billiards_common_sense/example41,False,completed,68,C1_qwen_guided_condition_failure,True,,step0:unmapped_component:striped_7;step1:unmapped_component:hole_7,pick>place,2026-05-28 09:48:43
