ablation_index,sample_id,track_c_status,variant,schema_valid,parse_error,conversion_ok,conversion_errors,skill_sequence,status,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,NF,True,,True,,pick>place,skipped_existing,2026-05-29 21:32:41
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,NF,True,,True,,pick>place,skipped_existing,2026-05-29 21:32:41
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,NF,True,,True,,pick>insert,completed,2026-05-29 21:32:42
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,NF,True,,True,,pick>place,completed,2026-05-29 21:32:43
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,NF,True,,True,,insert,completed,2026-05-29 21:32:44
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,NF,True,,True,,pick>place,completed,2026-05-29 21:32:45
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,NF,True,,True,,pick>place,completed,2026-05-29 21:32:46
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,NF,True,,True,,insert,completed,2026-05-29 21:32:47
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,NF,True,,True,,insert,completed,2026-05-29 21:32:48
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,NF,True,,True,,insert,completed,2026-05-29 21:32:49
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,NF,True,,True,,pick>insert,completed,2026-05-29 21:32:50
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,NF,False,,False,sequence_missing_or_empty,,completed,2026-05-29 21:32:51
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,NF,True,,True,,pick>insert,completed,2026-05-29 21:32:52
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,NF,True,,True,,insert,completed,2026-05-29 21:32:53
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,NF,True,,True,,pick>insert,completed,2026-05-29 21:32:54
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,NF,False,,False,sequence_missing_or_empty,,completed,2026-05-29 21:32:55
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,NF,False,,False,sequence_missing_or_empty,,completed,2026-05-29 21:32:56
