ablation_index,sample_id,track_c_status,variant,schema_valid,parse_error,conversion_ok,conversion_errors,skill_sequence,status,updated_at
1,CommenSence/insert_flower_common_sense/example19,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:purple flower,pick>place,skipped_existing,2026-06-01 15:16:31
2,CommenSence/insert_flower_common_sense/example81,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,skipped_existing,2026-06-01 15:16:31
3,CommenSence/select_billiards_common_sense/example21,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:32
4,CommenSence/select_billiards_common_sense/example30,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:34
5,CommenSence/select_billiards_common_sense/example47,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:35
6,CommenSence/select_billiards_common_sense/example6,C1_qwen_guided_condition_failure,R4,True,,True,,pick>insert,completed,2026-06-01 15:16:36
7,CommenSence/select_billiards_common_sense/example61,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:37
8,CommenSence/select_billiards_common_sense/example65,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:39
9,CommenSence/select_billiards_common_sense/example70,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:40
10,CommenSence/select_billiards_common_sense/example80,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:41
11,CommenSence/select_billiards_common_sense/example83,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:42
12,CommenSence/select_billiards_common_sense/example84,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:striped_7;step1:unmapped_component:hole_1,pick>place,completed,2026-06-01 15:16:43
13,CommenSence/select_billiards_common_sense/example89,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:16:44
14,CommenSence/select_billiards_common_sense/example92,C1_qwen_guided_condition_failure,R4,True,,True,,pick>insert,completed,2026-06-01 15:16:45
15,CommenSence/select_billiards_common_sense/example99,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:7,pick>place,completed,2026-06-01 15:16:46
16,CommenSence/select_chemistry_tube_common_sense/example82,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:16:48
17,CommenSence/select_drink_common_sense/example1,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:orange_juice_box,pick>place,completed,2026-06-01 15:16:49
18,CommenSence/select_drink_common_sense/example11,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:16:51
19,CommenSence/select_drink_common_sense/example67,C1_qwen_guided_condition_failure,R4,True,,False,step1:unmapped_component:glass_red,pick>place,completed,2026-06-01 15:16:52
20,CommenSence/select_drink_common_sense/example95,C1_qwen_guided_condition_failure,R4,False,,False,sequence_missing_or_empty,,completed,2026-06-01 15:16:53
21,CommenSence/select_drink_common_sense/example96,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:ssips,pick>place,completed,2026-06-01 15:16:54
22,CommenSence/select_fruit_common_sense/example3,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:16:55
23,CommenSence/select_fruit_common_sense/example30,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:16:57
24,CommenSence/select_fruit_common_sense/example32,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:16:58
25,CommenSence/select_fruit_common_sense/example93,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:00
26,CommenSence/select_nth_largest_poker/example16,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:01
27,CommenSence/select_nth_largest_poker/example22,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:03
28,CommenSence/select_nth_largest_poker/example24,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:7,pick>place,completed,2026-06-01 15:17:05
29,CommenSence/select_nth_largest_poker/example27,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:06
30,CommenSence/select_nth_largest_poker/example30,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:08
31,CommenSence/select_nth_largest_poker/example48,C1_qwen_guided_condition_failure,R4,False,,False,sequence_missing_or_empty,,completed,2026-06-01 15:17:10
32,CommenSence/select_nth_largest_poker/example54,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:11
33,CommenSence/select_nth_largest_poker/example65,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:13
34,CommenSence/select_nth_largest_poker/example66,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:15
35,CommenSence/select_nth_largest_poker/example68,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:16
36,CommenSence/select_nth_largest_poker/example76,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:7,pick>place,completed,2026-06-01 15:17:18
37,CommenSence/select_nth_largest_poker/example83,C1_qwen_guided_condition_failure,R4,False,,False,sequence_missing_or_empty,,completed,2026-06-01 15:17:20
38,CommenSence/select_nth_largest_poker/example85,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:21
39,CommenSence/select_nth_largest_poker/example92,C1_qwen_guided_condition_failure,R4,True,,False,step0:unmapped_component:9,pick>place,completed,2026-06-01 15:17:23
40,CommenSence/select_nth_largest_poker/example95,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:25
41,CommenSence/select_nth_largest_poker/example96,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:27
42,CommenSence/select_toy_common_sense/example13,C1_qwen_guided_condition_failure,R4,True,,True,,pick>place,completed,2026-06-01 15:17:29
43,M&T/add_condiment/example54,C1_qwen_guided_condition_failure,R4,True,,True,,pick>pour,completed,2026-06-01 15:17:31
44,M&T/insert_flower/example1,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:17:32
45,M&T/insert_flower/example14,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:17:34
46,M&T/insert_flower/example24,C1_qwen_guided_condition_failure,R4,True,,True,,insert,completed,2026-06-01 15:17:36
47,M&T/insert_flower/example50,C1_qwen_guided_condition_failure,R4,True,,True,,pick>insert,completed,2026-06-01 15:17:38
