sample_index,sample_id,category,task,example,gt_skill_pattern,official_status,official_eligible,repeat_1_status,repeat_1_success,repeat_2_status,repeat_2_success,case_dir
1,CommenSence/add_condiment_common_sense/example0,CommenSence,add_condiment_common_sense,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\add_condiment_common_sense\example0
2,CommenSence/insert_flower_common_sense/example0,CommenSence,insert_flower_common_sense,example0,pick>insert,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\insert_flower_common_sense\example0
3,CommenSence/select_billiards_common_sense/example0,CommenSence,select_billiards_common_sense,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\select_billiards_common_sense\example0
4,CommenSence/select_chemistry_tube_common_sense/example0,CommenSence,select_chemistry_tube_common_sense,example0,pick>lift,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\select_chemistry_tube_common_sense\example0
5,CommenSence/select_drink_common_sense/example0,CommenSence,select_drink_common_sense,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\select_drink_common_sense\example0
6,CommenSence/select_fruit_common_sense/example0,CommenSence,select_fruit_common_sense,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\select_fruit_common_sense\example0
7,CommenSence/select_nth_largest_poker/example0,CommenSence,select_nth_largest_poker,example0,pick>lift,B5_nondeterministic_mismatch,False,completed,False,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\select_nth_largest_poker\example0
8,CommenSence/select_toy_common_sense/example0,CommenSence,select_toy_common_sense,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\CommenSence\select_toy_common_sense\example0
9,M&T/add_condiment/example0,M&T,add_condiment,example0,pick>pour,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\M&T\add_condiment\example0
10,M&T/insert_flower/example0,M&T,insert_flower,example0,pick>insert,B1_condition_failure,False,completed,False,completed,False,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\M&T\insert_flower\example0
11,M&T/select_billiards/example0,M&T,select_billiards,example0,pick>place,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\M&T\select_billiards\example0
12,M&T/select_book/example0,M&T,select_book,example0,pick>pull,B0_official_eligible,True,completed,True,completed,True,silver\results\silver-official-guided-evaluation-20260516\track_b\generic_compatible_official\data\s0_balanced_task1_preload_target\M&T\select_book\example0
